Sample_name	Collected_Date	Depth_m	Off_On	Replicate
D1_SHR_A	1	-5	1	1
D1_SHR_B	1	-5	1	2
D1_SHR_C	1	-5	1	3
D1_0m_A	1	0	0	1
D1_0m_B	1	0	0	2
D1_0m_C	1	0	0	3
D1_1m_A	1	1	0	1
D1_1m_B	1	1	0	2
D1_1m_C	1	1	0	3
D1_5m_A	1	5	0	1
D1_5m_B	1	5	0	2
D1_5m_C	1	5	0	3
D1_9m_A	1	9	0	1
D1_9m_B	1	9	0	2
D1_9m_C	1	9	0	3
D1_10m_A	1	10	0	1
D1_10m_B	1	10	0	2
D1_10m_C	1	10	0	3
D2_SHR_A	2	-5	1	1
D2_SHR_B	2	-5	1	2
D2_SHR_C	2	-5	1	3
D2_0m_A	2	0	0	1
D2_0m_B	2	0	0	2
D2_0m_C	2	0	0	3
D2_1m_A	2	1	0	1
D2_1m_B	2	1	0	2
D2_1m_C	2	1	0	3
D2_5m_A	2	5	0	1
D2_5m_B	2	5	0	2
D2_5m_C	2	5	0	3
D2_9m_A	2	9	0	1
D2_9m_B	2	9	0	2
D2_9m_C	2	9	0	3
D2_10m_A_e	2	10	0	1
D2_10m_A_m	2	10	0	1
D2_10m_B	2	10	0	2
D2_10m_C	2	10	0	3
D3_SHR_A	3	-5	1	1
D3_SHR_B	3	-5	1	2
D3_SHR_C	3	-5	1	3
D3_0m_A	3	0	0	1
D3_0m_B	3	0	0	2
D3_0m_C	3	0	0	3
D3_1m_A	3	1	0	1
D3_1m_B	3	1	0	2
D3_1m_C	3	1	0	3
D3_5m_A	3	5	0	1
D3_5m_B	3	5	0	2
D3_5m_C	3	5	0	3
D3_9m_A	3	9	0	1
D3_9m_B	3	9	0	2
D3_9m_C	3	9	0	3
D3_10m_A	3	10	0	1
D3_10m_B	3	10	0	2
D3_10m_C	3	10	0	3
