D1_0m_A,D1_0m_B,D1_0m_C,D1_10m_A,D1_10m_B,D1_10m_C,D1_1m_A,D1_1m_B,D1_1m_C,D1_5m_A,D1_5m_B,D1_5m_C,D1_9m_A,D1_9m_B,D1_9m_C,D1_SHR_A,D1_SHR_B,D1_SHR_C,D2_0m_A,D2_0m_B,D2_0m_C,D2_10m_A_e,D2_10m_A_m,D2_10m_B,D2_10m_C,D2_1m_A,D2_1m_B,D2_1m_C,D2_5m_A,D2_5m_B,D2_5m_C,D2_9m_A,D2_9m_B,D2_9m_C,D2_SHR_A,D2_SHR_B,D2_SHR_C,D3_0m_A,D3_0m_B,D3_0m_C,D3_10m_A,D3_10m_B,D3_10m_C,D3_1m_A,D3_1m_B,D3_1m_C,D3_5m_A,D3_5m_B,D3_5m_C,D3_9m_A,D3_9m_B,D3_9m_C,D3_SHR_A,D3_SHR_B,D3_SHR_C,sum.taxonomy
0.260526497,0.170181483,0.447781708,0.225723455,0.188508778,0.287789115,0.052705161,0,0,0.424524353,0.745779212,0.332062536,0.299939369,0.320102694,0.430996384,0.542206839,0.570658241,0.411383336,0.006246756,0.025794182,0.011963038,0.056448184,0.139425786,0.065188487,0.181885386,0.013668491,0.01935112,0.021726141,0.140177408,0.116600425,0.15306826,0.056066137,0.038220043,0.066359031,0.964239407,0.677831281,0.831886719,0.080242124,0.046302959,0.022207841,0.132471135,0.036842762,0.091403728,0.054055956,0.036076485,0.086120224,0.160899968,0.112730465,0.13664242,0.081210076,0.055153818,0.085921555,0.510026353,1,0.602903704,Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
0.062895973,0.031666076,0.044292722,0.348435219,0.565945185,0.221800191,0.021634248,0.037174294,0.002427099,0.311033255,0.313333494,0.437811318,0.289570151,0.218127276,0.203056338,0.042019135,0,0.034992626,0.058389204,0.103935037,0.030292702,0.201359506,0.508173138,0.341899065,0.113286082,0.011312992,0.044874653,0.023381604,0.039043745,1,0.19584695,0.417392371,0.321569656,0.371720617,0.016586913,0.070675661,0.032813529,0.058303463,0.028903552,0.056705526,0.152320723,0.296938427,0.216513209,0.073815835,0.246614858,0.150535471,0.31406743,0.172558181,0.283138812,0.045184814,0.21974195,0.279090461,0,0.013145095,0.049726502,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207178827,1,0.134821645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
1,0,0.541417306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549235204,0.613749477,0,0,0,0.070450891,0,0,0,0,0,0,0.671714157,0,0,0,0,0,0,0,0.325357689,0.144265495,0.398588469,0,0,0,0,0,0.165707443,0.133055444,0.08878377,0.316176923,0.350531701,0,0.206145271,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015892127,1,0,0,0,0,0,0,0,0,0.632455403,0,0,0,0,0,0,0,0,0,0.023281063,3.87E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.055313476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090906876,0,0.11977472,0,0,0.877573061,0,0,0,0,0,0.093782564,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552931439,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Stegastes;Stegastes nigricans
0.019537807,0.065426257,0.097401961,0.022026363,0.014210506,0.001432315,0.004548308,0.132956549,0.011979078,0.059598818,0,0.004854596,0.037677026,0.037304497,0.014949026,0.006720294,0.013485464,0,0.369051655,0.853983638,0.559991125,0.013579395,0.076801978,0.001082324,0.004798097,0.448654448,1,0.993155842,0.009519353,0.075197941,0.124478857,0.0414859,0.004586367,0.107656684,0.085523387,0.027236603,0.009504719,0.19556021,0.12906084,0.204163763,0.009171363,0,0.007524674,0.177528383,0.089926056,0.218866293,0.148634625,0.008577434,0.134356625,0.006651524,0,0.015420331,0.023579081,0.021755672,0.025039401,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011986681,0,0,0,0,0.31614668,0,0.131005835,0,0,1,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Passeriformes;Sylviidae;Regulus;Regulus calendula
0.679740495,0.512989303,0.275733592,0.219876838,0.272508366,0.201998567,0.295076493,0.542463184,0.087932067,0.12952499,0.176740735,0.058539854,0.25760951,0.285219409,0.189133627,0.07789486,0,0.048290352,0.157604274,0.01398398,0.117796298,0.123130679,0.460983297,0.107092484,0.319836531,0.024532847,0.051644771,0.023365415,1,0.48706159,0.723775474,0.219030825,0.375530064,0.173820644,0.096385454,0.186531728,0.159459964,0.292516226,0.637528531,0.300578369,0.10852407,0.091630436,0.269927059,0.152020146,0.519055735,0.39889803,0.295159683,0.836759539,0.258530502,0.164249477,0.088843591,0.220831824,0.103117889,0.055399066,0.289740374,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
