D1_0m_A,D1_0m_B,D1_0m_C,D1_10m_A,D1_10m_B,D1_10m_C,D1_1m_A,D1_1m_B,D1_1m_C,D1_5m_A,D1_5m_B,D1_5m_C,D1_9m_A,D1_9m_B,D1_9m_C,D1_SHR_A,D1_SHR_B,D1_SHR_C,D2_0m_A,D2_0m_B,D2_0m_C,D2_10m_A_e,D2_10m_A_m,D2_10m_B,D2_10m_C,D2_1m_A,D2_1m_B,D2_1m_C,D2_5m_A,D2_5m_B,D2_5m_C,D2_9m_A,D2_9m_B,D2_9m_C,D2_SHR_A,D2_SHR_B,D2_SHR_C,D3_0m_A,D3_0m_B,D3_0m_C,D3_10m_A,D3_10m_B,D3_10m_C,D3_1m_A,D3_1m_B,D3_1m_C,D3_5m_A,D3_5m_B,D3_5m_C,D3_9m_A,D3_9m_B,D3_9m_C,D3_SHR_A,D3_SHR_B,D3_SHR_C,sum.taxonomy
29489,11642,36717,32655,23756,39695,3878,0,0,18203,67125,25396,36695,49147,50109,63827,49692,36269,577,2431,1277,2400,10928,8514,21402,1315,2010,1666,5229,15895,18440,8225,3683,4428,134259,68833,110604,2985,9059,3445,15178,5539,11968,5714,4669,8736,16921,21835,19841,7860,8421,11696,92208,304992,166512,Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
5416,1648,2763,38348,54258,23274,1211,2444,333,10146,21455,25473,26951,25478,17960,3763,0,2347,4103,7452,2460,6513,30301,33971,10141,828,3546,1364,1108,103707,17949,46583,23574,18870,1757,5460,3319,1650,4302,6692,13277,33962,21567,5936,24281,11617,25127,25427,31277,3327,25524,28902,0,3050,10448,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,1218,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
334,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,77,0,0,0,20,0,0,0,0,0,0,191,0,0,0,0,0,0,0,110,64,154,0,0,0,0,0,71,38,40,127,187,0,168,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,16943,0,0,0,0,0,0,0,0,11839,0,0,0,0,0,0,0,0,0,460,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,166,0,0,1047,0,0,0,0,0,132,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Stegastes;Stegastes nigricans
2597,5256,9379,3742,2103,232,393,13493,2537,3001,0,436,5413,6726,2041,929,1379,0,40031,94515,70197,678,7069,166,663,50688,121977,89433,417,12038,17610,7147,519,8436,13984,3248,1484,8543,29652,37192,1234,0,1157,22037,13667,26072,18356,1951,22910,756,0,2465,5006,7792,8121,Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,171,0,68,0,0,743,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Passeriformes;Sylviidae;Regulus;Regulus calendula
35728,16296,10499,14771,15947,12938,10082,21769,7364,2579,7387,2079,14635,20335,10211,4258,0,1977,6760,612,5839,2431,16778,6495,17476,1096,2491,832,17322,30832,40489,14921,16804,5386,6232,8796,9845,5053,57920,21652,5774,6397,16412,7462,31194,18790,14414,75261,17432,7382,6299,13959,8657,7846,37159,Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
