D1_0m_A,D1_0m_B,D1_0m_C,D1_10m_A,D1_10m_B,D1_10m_C,D1_1m_A,D1_1m_B,D1_1m_C,D1_5m_A,D1_5m_B,D1_5m_C,D1_9m_A,D1_9m_B,D1_9m_C,D1_SHR_A,D1_SHR_B,D1_SHR_C,D2_0m_A,D2_0m_B,D2_0m_C,D2_10m_A_e,D2_10m_A_m,D2_10m_B,D2_10m_C,D2_1m_A,D2_1m_B,D2_1m_C,D2_5m_A,D2_5m_B,D2_5m_C,D2_9m_A,D2_9m_B,D2_9m_C,D2_SHR_A,D2_SHR_B,D2_SHR_C,D3_0m_A,D3_0m_B,D3_0m_C,D3_10m_A,D3_10m_B,D3_10m_C,D3_1m_A,D3_1m_B,D3_1m_C,D3_5m_A,D3_5m_B,D3_5m_C,D3_9m_A,D3_9m_B,D3_9m_C,D3_SHR_A,D3_SHR_B,D3_SHR_C,sum.taxonomy
0.013867641350650278,0.009533362515912153,0.042410988285528695,0.01838981894916906,0.02566085966090057,0.02600919064158508,0.003746115467017949,0,0,0.027883566263686793,0.058608643015707326,0.02565630878799778,0.029712827336751086,0.02581246676069726,0.044933681556848765,0.04983233678482911,0.029885897267691412,0.03182722754891132,2.6611362328698225e-4,0.0015074603096988258,4.751770544046465e-4,0.003686851101847808,0.01453016744653122,0.007540749046223267,0.015441858646093416,4.4487113728573405e-4,9.657834875556188e-4,9.692571820662148e-4,0.008309777503501453,0.008779255699022428,0.010758054302846367,0.0042461053017660046,0.0021092010184370733,0.005767731331782466,0.058608643015707326,0.058608643015707326,0.058608643015707326,0.011708392410780777,0.0027514611306677,0.0015314763208567463,0.0098813870044922,0.0038766347865920262,0.00969707522896543,0.00420721097239603,0.0038644789470461444,0.008042933526841753,0.015447543551594006,0.01269072204452612,0.013523760682839637,0.01057053543146993,0.006936855327419905,0.012560222235262987,0.03528826304127057,0.058608643015707326,0.053417128907914606,Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
0.003783410183559817,0.002004647133076239,0.004740829157275425,0.03207987749477215,0.08706104648576006,0.022652924558509747,0.001737719661363651,0.0016145170165505548,5.8983968814104435e-5,0.02308673002912944,0.02782710990468502,0.03822708375791647,0.03241710205492766,0.019877421497828632,0.023923505483319063,0.004364186043665944,0,0.0030594160044031694,0.0028109623517136996,0.006864295809256562,0.001359758830488805,0.014862355728710296,0.05984792689409959,0.04469422287289008,0.010868965559671215,4.1610317642493924e-4,0.0025309564166892543,0.0011788013322206565,0.0026156084464810775,0.08508783123396711,0.01555518891660187,0.03572272043659471,0.020054495894618992,0.03651165567699283,0.001139337092302791,0.006905892723145147,0.002612524079474862,0.009613888816858793,0.0019409562458567087,0.004419154743569429,0.012840015042560165,0.035308478054350716,0.025957994712837492,0.0064924731710131,0.029853541445004093,0.015887591338617866,0.034075030998110455,0.021952828062489917,0.03166804306439557,0.006646445655303436,0.031232728263655196,0.04610521777945319,0,8.706333011409092e-4,0.004978865396881256,Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;Pteroplatytrygon;Pteroplatytrygon violacea
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8392900400294636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16070995997053647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Clevelandia;Clevelandia ios
0,0,0,0,0,0.079198129114806,0,0,0,0.22602210555115468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147003762945006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5477760023890332,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon
0,0,0,0,0,0.04692205563628443,0,0,0,0,0,0,0,0.4766510632325135,0,0,0,0.05075690974175563,0,0,0,0,0,0,0,0,0,0,0.42566997138944646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;Cephaloscyllium;Cephaloscyllium ventriosum
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias superciliosus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Perciformes;Zaniolepididae;Zaniolepis;Zaniolepis latipinnis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11600245793996491,0.7964987359741255,0.08749880608590958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Triakidae;Mustelus;Mustelus californicus
0.12639591801643704,0,0.12176613600789986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05180297395189816,0.0951873218376283,0,0,0,0.005444807110523715,0,0,0,0,0,0,0.08802248936256485,0,0,0,0,0,0,0,0.057628865679456825,0.036045206947759374,0.10041161010725785,0,0,0,0,0,0.03894361780658235,0.0411246356020781,0.02651569329963876,0.10975080413281604,0.05759003099485854,0,0.04336988914260015,Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis
0,0,0,0,0,0,0,0,0,0.7563694408586988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2436305591413012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Orcinus;Orcinus orca
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019103567023628136,0.6849776409472706,0,0,0,0,0,0,0,0,0.26923391090565113,0,0,0,0,0,0,0,0,0,0.026328678515738353,3.5620260771169104e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
