Sample_name	New_name	Collected_Date	Survey_Site	Depth_m	Location	Replicate	Collected_time	Collector	Start_volume_L	Volume_filtered	Time_filtered	Squeezed	High_Tide	Swell_height_ft	Swell_period_s	Surf_height_ft	Sample_control	Type
KM.D1.1.S1	D1_SHR_A	Day_1	LCSB	-5	SHR	A	58	KM	1	1	71	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.2.S2	D1_SHR_B	Day_1	LCSB	-5	SHR	B	58	KM	1	0.95	75	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.3.S3	D1_SHR_C	Day_1	LCSB	-5	SHR	C	58	KM	1	1	79	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.4.S4	D1_0m_A	Day_1	LCSB	0	0m	A	40	CG	1	1	48	NO	59	0.75	14	2	SAMPLE	Sample
KM.D1.5.S5	D1_0m_B	Day_1	LCSB	0	0m	B	40	CG	1	1	39	NO	59	0.75	14	2	SAMPLE	Sample
KM.D1.6.S6	D1_0m_C	Day_1	LCSB	0	0m	C	40	CG	1	1	43	NO	59	0.75	14	2	SAMPLE	Sample
KM.D1.7.S7	D1_1m_A	Day_1	LCSB	1	1m	A	40	EC	1	1	45	NO	59	0.75	14	2	SAMPLE	Sample
KM.D1.8.S8	D1_1m_B	Day_1	LCSB	1	1m	B	40	EC	1	1	41	NO	59	0.75	14	2	SAMPLE	Sample
KM.D1.9.S9	D1_1m_C	Day_1	LCSB	1	1m	C	40	EC	1	1	39	NO	59	0.75	14	2	SAMPLE	Sample
KM.D1.10.S10	D1_5m_A	Day_1	LCSB	5	5m	A	48	ZJG	1	1	57	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.11.S11	D1_5m_B	Day_1	LCSB	5	5m	B	48	ZJG	1	1	53	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.12.S12	D1_5m_C	Day_1	LCSB	5	5m	C	48	ZJG	1	1	54	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.13.S13	D1_9m_A	Day_1	LCSB	9	9m	A	40	ZJG	1	0.95	62	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.14.S14	D1_9m_B	Day_1	LCSB	9	9m	B	40	ZJG	1	1	72	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.15.S15	D1_9m_C	Day_1	LCSB	9	9m	C	40	ZJG	1	1	56	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.16.S16	D1_10m_A	Day_1	LCSB	10	10m	A	40	EZ	1	1	58	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.17.S17	D1_10m_B	Day_1	LCSB	10	10m	B	40	EZ	1	1	58	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.18.S18	D1_10m_C	Day_1	LCSB	10	10m	C	40	EZ	1	1	57	YES	59	0.75	14	2	SAMPLE	Sample
KM.D1.19.S19	D1_Field_Blank	Day_1	LCSB	NA	NA	NA	NA	EZ_KM	1	1	39	NO	59	0.75	14	2	CONTROL	Blank
KM.D1.20.S20	D1_Positive	Day_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CONTROL	Pos
KM.D1.21.S21	D1_Negative	Day_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CONTROL	Blank
KM.D2.1.S22	D2_SHR_A	Day_2	LCSB	-5	SHR	A	8	KM	1	1	57	YES	60	1.4	14	3	SAMPLE	Sample
KM.D2.2.S23	D2_SHR_B	Day_2	LCSB	-5	SHR	B	8	KM	1	1	48	YES	60	1.4	14	3	SAMPLE	Sample
KM.D2.3.S24	D2_SHR_C	Day_2	LCSB	-5	SHR	C	8	KM	1	1	68	YES	60	1.4	14	3	SAMPLE	Sample
KM.D2.4.S25	D2_0m_A	Day_2	LCSB	0	0m	A	11	ZJG	1	1	47	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.5.S26	D2_0m_B	Day_2	LCSB	0	0m	B	11	ZJG	1	1	39	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.6.S27	D2_0m_C	Day_2	LCSB	0	0m	C	11	ZJG	1	1	42	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.7.S28	D2_1m_A	Day_2	LCSB	1	1m	A	8	EC	1	1	44	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.8.S29	D2_1m_B	Day_2	LCSB	1	1m	B	8	EC	1	1	42	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.9.S30	D2_1m_C	Day_2	LCSB	1	1m	C	8	EC	1	1	46	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.10.S31	D2_5m_A	Day_2	LCSB	5	5m	A	8	ZJG	1	1	45	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.11.S32	D2_5m_B	Day_2	LCSB	5	5m	B	8	ZJG	1	1	46	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.12.S33	D2_5m_C	Day_2	LCSB	5	5m	C	8	ZJG	1	1	41	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.13.S34	D2_9m_A	Day_2	LCSB	9	9m	A	8	CG	1	1	44	NO	60	1.4	14	3	SAMPLE	Sample
KM.D2.14.S35	D2_9m_B	Day_2	LCSB	9	9m	B	8	CG	1	1	42	NO	60	1.4	14	3	SAMPLE	Sample
