"sum.taxonomy","Collected_Date","Location","max_Occupancy_prob"
"","Day_1","0m",0.988902008226344
"","Day_1","10m",0.988902008226344
"","Day_1","1m",0.988902008226344
"","Day_1","5m",0.988902008226344
"","Day_1","9m",0.988902008226344
"","Day_1","SHR",0.988902008226344
"","Day_2","0m",0.988902008226344
"","Day_2","10m",0.988902008226344
"","Day_2","1m",0.988902008226344
"","Day_2","5m",0.988902008226344
"","Day_2","9m",0.988902008226344
"","Day_2","SHR",0.988902008226344
"","Day_3","0m",0.988902008226344
"","Day_3","10m",0.988902008226344
"","Day_3","1m",0.988902008226344
"","Day_3","5m",0.988902008226344
"","Day_3","9m",0.988902008226344
"","Day_3","SHR",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_1","0m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_1","10m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_1","5m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_1","9m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_1","SHR",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_2","0m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_2","10m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_2","1m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_2","5m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_2","9m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_2","SHR",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_3","0m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_3","10m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_3","1m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_3","5m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_3","9m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;;","Day_3","SHR",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_1","0m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_1","10m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_1","1m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_1","5m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_1","9m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_2","0m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_2","10m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_2","1m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_2","5m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_2","9m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_2","SHR",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_3","0m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_3","10m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_3","1m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_3","5m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_3","9m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus","Day_3","SHR",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata","Day_2","9m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata","Day_3","10m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni","Day_1","0m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni","Day_1","10m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni","Day_1","1m",0.988902008226344
"Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni","Day_1","5m",0.988902008226344
