sum.taxonomy,Day_1_0m,Day_1_10m,Day_1_1m,Day_1_5m,Day_1_9m,Day_1_SHR,Day_2_0m,Day_2_10m,Day_2_1m,Day_2_5m,Day_2_9m,Day_2_SHR,Day_3_0m,Day_3_10m,Day_3_1m,Day_3_5m,Day_3_9m,Day_3_SHR
,0.0010654660127578568,0.0016126351170264188,0.002195733005175739,0.001478955357098599,0.0014139840262675442,0.0041202036897822316,0.0011597550939807229,0.005008049197898096,0.001803454310043931,0.0022397505181191817,0.005273247757381463,0.0027995650983634462,0.00454109253645967,0.04755298402663781,0.003858796261990473,0.004052375491588137,0.03557314158138394,0.0011456254207486186
Eukaryota;Chordata;Actinopteri;;Embiotocidae;;,0.1272208194390285,0.08684312252887544,0.014725160768147647,0.2733824351647581,0.09956378476119097,0.12013783329609021,0.012584377108677117,0.02328947434903873,0.01165276402605634,0.057951918457930296,0.0340735037144303,0.2169394353227853,0.025796796395556185,0.02667636962559113,0.03670619177083041,0.04263295041279309,0.031255311364488024,0.1593465488935021
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;,0,0.4759049765733086,0,0,0,0.8081896551724137,0,0,0,0,0,0.5169368738306521,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,0.008111636216922657,0.0024191123985016615,0.260617149487999,0.011232107408465251,0.004857798118113652,0.002174691997181156,0.011014733923265154,0.01423115548206748,0.0021461468319898757,0.018123050407567474,0.013390317745964274,0.001895771007797117,0.042496152502772715,0.01877180204614151,0.0487673490213142,0.029301559102314682,0.03319238212175325,0.010264414779363925
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0,0.014954448886238637,0,0,0.12439238228623635,0.029746023044110774,0,0.1806385796148856,0.7639499665864039,0,0.25751218923204156,0,0,0.48491507266389045,0,1,0.12678018125082371,0.06708590825226102
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0.035239905462703544,0.1340334692105887,0.008307119314353295,0.19326366844670168,0.12725631943320453,0.029571933898422303,0.04515928465013624,0.1554097698836471,0.019598088588298923,0.2959395219223389,0.271646803038363,0.019985653288114684,0.030806238536892964,0.16430331819569224,0.05874695256711088,0.08709629001678004,0.10618460321942857,0.016745104075031273
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Hypsurus;Hypsurus caryi,0,0.3565057129211051,0,0,0.20711596657357073,0,0,0.4998062290273977,0.10274489951865172,0,1,0,0.08757669479513024,0.6352561389970383,0.7371746773593665,0.9680979286574334,0.40053218469027174,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus minimus,0.4586567777650578,0.2424755205832157,0.15386877292718312,0.35156791801090626,0.2843419047776223,0.5951943679216407,0.08004820543413962,0.0459896038242535,0,0.2588447388382573,0.0693253363202145,0.3300240020112841,0.047035114799865864,0,0.10397584688313245,0.20276134325921147,0.14185974652375208,0.13014517618570073
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus toxotes,0.2271307227015931,0.2160945086752225,0,1,0.22679965001598312,0,0.8491535643828708,0.13675657741861733,0,0,0.2717515140376992,0.4093274115397695,0.12345431607990488,0.6034969166634503,0.15682569269033955,0.3197776765903334,0.3086350510037059,0.18250448294694044
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca,0.06094460880343805,0.16773233808836643,0,0.21095774436899983,0.08735289651901706,0.046481806360755995,0,0.22715190746186167,0,0.10100346135694277,0.5200028729440495,0.12326531106097452,0.1575040597299814,0.13359427373655147,0.08600972530967366,0.1684187600713093,0.225567083536935,0.021229372415416455
Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps,0,0.20385178825606803,0,0,0.27021828303896306,0,0,0.42875470818573297,0,0.13794926329631,0,0.024096653430863615,0,0.26925567281076124,0.2157721592893387,0.002002254354740357,0.4254314192204701,0
