sum.taxonomy,Day_1_0m,Day_1_10m,Day_1_1m,Day_1_5m,Day_1_9m,Day_1_SHR,Day_2_0m,Day_2_10m,Day_2_1m,Day_2_5m,Day_2_9m,Day_2_SHR,Day_3_0m,Day_3_10m,Day_3_1m,Day_3_5m,Day_3_9m,Day_3_SHR
,816,3120,1930,833,2685,4676,1318,11539,1665,2977,7559,3040,10996,74948,7407,10263,81182,5730
Eukaryota;Chordata;Actinopteri;;Embiotocidae;;,77848,96106,3878,110724,135951,149788,4285,43244,4991,39564,16336,313696,15489,32685,19119,58597,27977,563712
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;,0,154,0,0,0,375,0,0,0,0,0,153,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,15430,4280,512071,10182,8248,1839,23318,30330,3429,38462,23948,5113,118978,42899,189511,56338,55416,33864
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0,115,0,0,1836,328,0,2510,3979,0,4504,0,0,14450,0,8357,1840,962
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,9827,115880,3988,57074,70389,6110,14015,80926,5738,122764,89027,10536,12644,68806,41834,81831,57753,13498
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Hypsurus;Hypsurus caryi,0,6414,0,0,894,0,0,4062,313,0,3410,0,374,2768,2731,4732,1700,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus minimus,5393,13259,2336,9850,19895,23334,2095,2272,0,10187,1916,16506,814,0,3122,12049,7320,17694
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus toxotes,1630,2404,0,2850,3632,0,3391,2749,0,0,1146,4165,652,6504,1437,7732,3240,1893
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus vacca,722,9241,0,3970,3079,1836,0,18844,0,2670,14480,4141,8239,9507,1301,16806,7818,727
Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps,0,11617,0,0,7389,0,0,16556,0,2829,0,314,0,18581,5064,31,22878,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,465,0,0,0,0,0,173,77,20,0,191,0,0,328,0,71,205,355
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus,0,0,0,0,0,0,0,1264,0,0,0,0,130,166,1047,0,132,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Stegastes;Stegastes nigricans,0,0,0,0,0,1335,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Cheilotrema;Cheilotrema saturnum,1177,2621,0,1193,2393,753,782,1152,440,459,758,2795,1041,0,533,0,951,2119
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;,0,0,0,0,20,14,0,0,0,0,0,80,0,0,0,0,0,28
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus,29472,96505,1508,31987,93195,209789,1203,16508,4154,11544,11928,200773,20403,2697,7786,33866,8357,489136
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Seriphus;Seriphus politus,8981,22932,4019,9713,21707,27132,2904,5296,569,7308,7122,59743,1902,2773,7557,15883,2918,30912
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Umbrina;Umbrina roncador,6935,22836,2249,15894,29174,30841,0,5713,3207,5646,3259,53770,2990,578,4279,10555,3168,31628
Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea,3108,971,70,544,3628,0,0,1928,1515,0,268,333,6188,774,1059,1065,3183,0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis,105933,57043,61079,29995,54932,38567,125922,44810,82288,108251,37905,76020,142188,14115,107827,64707,17385,147198
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis,17232,6077,16423,3437,14180,2308,204743,8576,262098,30065,16102,18716,75387,2391,61776,43217,3221,20919
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps,0,0,0,36,53,0,0,0,0,0,108,569,729,5378,1701,2362,3657,0
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura exilis,0,113,0,97,0,0,58,0,0,0,178,72,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius gilberti,9790,4830,0,9220,5284,8724,0,2287,1287,1391,71,9056,2602,0,2946,4745,0,13183
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi,0,9475,4736,129,3569,1623,113,9268,508,850,6153,943,4126,949,1846,4092,3656,4419
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;,3503,31923,5822,23859,43830,1000,9631,15540,1891,13564,17109,18359,6496,4285,9914,20012,14274,34336
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;Gibbonsia montereyensis,1678,2652,5984,570,716,1945,0,838,0,389,1041,3710,2948,1091,765,0,407,5962
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus,62523,43656,39215,12045,45181,6235,13211,43180,4419,88643,37111,24873,84625,28583,57446,107107,27640,53662
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Rimicola;Rimicola muscarum,6568,8637,6814,9825,6157,9754,4799,6627,95,5482,3617,7057,19085,2801,20113,12177,1646,5618
