sum.taxonomy,Day_1_0m,Day_1_10m,Day_1_1m,Day_1_5m,Day_1_9m,Day_1_SHR,Day_2_0m,Day_2_10m,Day_2_1m,Day_2_5m,Day_2_9m,Day_2_SHR,Day_3_0m,Day_3_10m,Day_3_1m,Day_3_5m,Day_3_9m,Day_3_SHR
,0.0010644621522741238,0.0016108658058091574,0.002190738072795367,0.0014741797565730626,0.001408465878714812,0.004074446767761686,0.0011481154269879323,0.0048918495685299134,0.0017448874928762176,0.0022286210066041266,0.005270224939890299,0.002786365344269376,0.004539170795766454,0.04707529841547736,0.003833819431968688,0.00403114451682993,0.03557314158138394,0.001144837967557716
Eukaryota;Chordata;Actinopteri;;Embiotocidae;;,0.12718837833223737,0.08680750984852617,0.014701768800814762,0.2726871066411496,0.09924344745620661,0.11888535922604072,0.012466645371795454,0.022764746108205707,0.011282097674687647,0.05770361338754269,0.03407739486445168,0.2160650947909145,0.025803615758998387,0.026426561051678583,0.036493687785579036,0.042438760850601116,0.03127680968596589,0.1593465488935021
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;,0,0.48072148736204945,0,0,0,0.8081896551724138,0,0,0,0,0,0.5202774942459807,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Amphistichus;Amphistichus koelzi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,0.008122470886463886,0.002421967835941781,0.260617149487999,0.011221365291174066,0.0048498729690602815,0.0021554442372789056,0.01092904838044788,0.013932650546043993,0.0020811854994701308,0.018074111060699633,0.013413154655035574,0.001891134600755386,0.04257501978147593,0.018625603215074782,0.04856216356373299,0.02921450224357532,0.03326806150410409,0.010280746477846133
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0,0.015016716257018791,0,0,0.1245595195631438,0.029570603204884523,0,0.17737660108392073,0.7430337044196031,0,0.25872004519320846,0,0,0.48257220354773145,0,1,0.12744789902098538,0.06739287723277905
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0.035382521909680255,0.13455502910071823,0.008329612536411755,0.1936016361030417,0.12739272020787878,0.029389562029405885,0.044929309435722535,0.15256195666842184,0.019056337156383423,0.2959395219223389,0.27284688466728413,0.019990758110908856,0.030946979858312473,0.1634651085517477,0.05865817867252729,0.08707265153536073,0.10671487856043547,0.016817160121471095
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca lateralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Hyperprosopon;Hyperprosopon ellipticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5049751243781094
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Hypsurus;Hypsurus caryi,0,0.356318825693466,0,0,0.20642601644814235,0,0,0.48848945821837164,0.09946529663201814,0,1,0,0.08758984298087437,0.6292354795256785,0.7328232478797748,0.9635782832884441,0.40076191600296995,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus minimus,0.4633706028683291,0.24492955241390552,0.15524279557482776,0.35436812768089676,0.2864130050581054,0.5951943679216406,0.08013475295838603,0.04542701639340376,0,0.2604509553160588,0.07006368881003022,0.3321567284126677,0.04754320107259093,0,0.10446295578772095,0.20396417168950717,0.14345286228388449,0.13151627401957855
